,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dikson,100,RU,1587234480,91,73.51,80.55,35.91,18.05
1,Khuzhir,85,RU,1587234480,85,53.19,107.34,26.28,10.51
2,Albany,98,US,1587234231,70,42.6,-73.97,43.0,6.85
3,Butaritari,98,KI,1587234480,78,3.07,172.79,82.04,14.43
4,Djibouti,75,DJ,1587234481,74,11.5,42.5,86.0,4.7
5,Rikitea,1,PF,1587234481,70,-23.12,-134.97,76.78,4.68
6,Kapaa,20,US,1587234342,73,22.08,-159.32,75.2,12.75
7,Provideniya,100,RU,1587234460,95,64.38,-173.3,21.16,16.24
8,Plácido de Castro,2,BR,1587234481,33,-10.34,-67.19,86.88,5.79
9,Nuevitas,8,CU,1587234481,48,21.55,-77.26,88.32,11.36
10,Praxédis Guerrero,5,MX,1587234481,12,31.37,-106.02,77.0,4.7
11,Tiksi,92,RU,1587234236,87,71.69,128.87,5.04,4.7
12,Hilo,1,US,1587234481,64,19.73,-155.09,75.2,5.66
13,Christchurch,16,NZ,1587234482,70,-43.53,172.63,48.99,5.82
14,Busselton,100,AU,1587234482,67,-33.65,115.33,63.0,22.86
15,Thompson,75,CA,1587234321,56,55.74,-97.86,12.2,13.87
16,Bambous Virieux,40,MU,1587234482,74,-20.34,57.76,79.0,16.11
17,Hong Kong,96,HK,1587234482,83,22.29,114.16,75.0,5.7
18,Punta Arenas,57,CL,1587234482,43,-53.15,-70.92,55.4,17.22
19,Tuktoyaktuk,40,CA,1587234482,77,69.45,-133.04,6.8,6.93
20,Santa Fe,0,AR,1587234445,34,-31.63,-60.7,84.0,8.01
21,Thinadhoo,100,MV,1587234482,73,0.53,72.93,84.45,12.55
22,Hermanus,6,ZA,1587234483,54,-34.42,19.23,67.57,2.06
23,Maturin,30,VE,1587234483,30,9.75,-63.18,95.56,8.3
24,Russell,40,US,1587234469,54,32.35,-85.2,78.8,11.41
25,Kruisfontein,0,ZA,1587234320,52,-34.0,24.73,66.58,8.77
26,Jalingo,58,NG,1587234423,30,8.88,11.37,93.49,5.7
27,Atuona,63,PF,1587234483,79,-9.8,-139.03,82.26,14.2
28,Los Llanos de Aridane,20,ES,1587234484,60,28.66,-17.92,68.0,17.22
29,Puerto Ayora,75,EC,1587234334,70,-0.74,-90.35,86.0,9.17
30,Snåase,98,NO,1587234484,84,64.25,12.38,38.52,3.58
31,San Jerónimo,75,PE,1587234404,24,-11.95,-75.28,55.69,7.45
32,Slave Lake,1,CA,1587234269,59,55.28,-114.77,37.4,10.29
33,Balkanabat,0,TM,1587234484,35,39.51,54.37,72.19,5.35
34,Mikuni,75,JP,1587234484,93,36.22,136.15,53.6,8.05
35,Tasiilaq,90,GL,1587234335,91,65.61,-37.64,32.0,17.22
36,Bluff,100,NZ,1587234485,93,-46.6,168.33,43.0,4.0
37,Yankton,1,US,1587234485,22,42.87,-97.4,66.2,9.17
38,Morón,0,AR,1587234485,50,-34.65,-58.62,79.0,9.04
39,Sterling,75,US,1587234485,53,39.01,-77.43,52.0,23.04
40,Vaini,20,TO,1587234335,83,-21.2,-175.2,77.0,8.05
41,La Asuncion,17,VE,1587234486,65,11.03,-63.86,77.0,20.8
42,Taoudenni,53,ML,1587234435,27,22.68,-3.98,92.43,29.01
43,Chui,32,UY,1587234486,70,-33.7,-53.46,70.14,6.78
44,Coquimbo,90,CL,1587234486,82,-29.95,-71.34,60.8,9.17
45,Yellowknife,75,CA,1587234486,79,62.46,-114.35,24.01,9.17
46,São Filipe,14,CV,1587234486,73,14.9,-24.5,71.49,23.38
47,Cape Town,5,ZA,1587234208,52,-33.93,18.42,69.01,3.36
48,Santa Cruz de la Sierra,3,BO,1587234486,28,-17.8,-63.17,86.0,13.87
49,Gulmarg,92,IN,1587234487,41,34.05,74.39,36.61,2.33
50,Dwārka,0,IN,1587234487,83,22.24,68.97,80.65,12.3
51,Chokurdakh,56,RU,1587234487,86,70.63,147.92,-12.08,7.52
52,Pevek,0,RU,1587234346,89,69.7,170.31,-4.92,7.09
53,Meulaboh,89,ID,1587234487,82,4.14,96.13,79.48,3.87
54,Hasaki,75,JP,1587234487,87,35.73,140.83,52.0,4.7
55,High Level,40,CA,1587234487,42,58.52,-117.14,44.6,6.93
56,Ribeira Grande,75,PT,1587234294,88,38.52,-28.7,64.4,9.17
57,Port Macquarie,58,AU,1587234488,95,-31.43,152.92,54.0,5.86
58,Durango,48,MX,1587234488,11,24.83,-104.83,77.67,14.29
59,Lüderitz,11,NA,1587234488,87,-26.65,15.16,60.8,6.93
60,Lanzhou,41,CN,1587234488,59,36.06,103.79,55.0,4.47
61,Yangi Marg`ilon,6,UZ,1587234488,47,40.43,71.72,59.0,6.93
62,Ushuaia,75,AR,1587234209,37,-54.8,-68.3,51.8,12.75
63,Iqaluit,20,CA,1587234489,65,63.75,-68.51,6.8,3.36
64,Praia da Vitória,75,PT,1587234215,88,38.73,-27.07,64.4,18.14
65,Tacoronte,40,ES,1587234365,77,28.48,-16.41,62.01,18.34
66,Faanui,60,PF,1587234489,70,-16.48,-151.75,82.76,8.72
67,Saint-Philippe,20,RE,1587234489,78,-21.36,55.77,77.0,17.22
68,Paraná,0,AR,1587234459,34,-31.73,-60.52,84.0,5.01
69,Jamestown,75,US,1587234323,55,42.1,-79.24,42.01,12.75
70,Leh,94,IN,1587234489,17,34.17,77.58,36.03,5.91
71,Camacha,40,PT,1587234490,68,33.08,-16.33,66.2,13.87
72,Hobart,40,AU,1587234391,87,-42.88,147.33,45.0,1.12
73,George Town,40,MY,1587234490,88,5.41,100.34,82.4,4.7
74,New Norfolk,70,AU,1587234490,86,-42.78,147.06,43.0,3.62
75,Port Alfred,0,ZA,1587234490,94,-33.59,26.89,66.99,4.0
